2014,Temp. (°C),Dew Point (°C),Humidity (%),Sea Level Press. (hPa),Visibility (km),Wind (km/h),Precip. (mm),Events,,,,,,,,,,,,
Apr,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,14,8,3,2,-2,-4,76,56,35,1021,1019,1016,16,16,16,26,16,40,0,
2,9,6,3,5,3,1,92,81,70,1022,1020,1019,16,16,16,16,6,32,0.76,Rain
3,17,11,4,5,1,-6,92,57,22,1021,1019,1017,16,16,13,21,9,26,2.03,Rain
4,7,6,5,6,3,2,92,84,76,1019,1015,1007,16,13,4,42,22,52,2.54,Rain
5,14,9,5,6,0,-6,93,63,32,1019,1011,1007,16,14,3,53,27,63,T,Rain
6,14,8,3,2,-4,-8,79,50,21,1024,1022,1019,16,16,16,40,17,89,0,
7,11,7,3,8,4,0,93,74,54,1024,1017,1007,16,11,3,42,18,56,8.89,Rain
8,19,14,8,13,7,-1,93,65,37,1006,1000,996,16,7,0,48,22,60,6.35,"Fog , Rain , Thunderstorm"
9,18,12,6,1,-3,-12,65,43,20,1017,1008,1004,16,16,16,48,24,60,0,
10,12,8,3,4,-2,-13,71,46,21,1024,1021,1018,16,16,16,47,26,56,0,
11,21,14,8,9,6,3,86,61,35,1018,1016,1014,16,16,16,32,14,39,T,Rain
12,20,15,9,10,6,1,83,56,29,1024,1022,1016,16,16,16,29,13,39,0,
13,18,13,8,11,9,6,89,75,60,1023,1020,1016,16,16,13,50,24,61,0,
14,19,15,11,12,10,9,93,77,60,1018,1015,1012,16,15,1,58,36,76,0,Fog
15,13,7,1,12,9,0,96,88,79,1012,1007,1001,16,5,0,53,37,69,16.51,"Fog , Rain , Snow"
16,9,5,0,0,-7,-11,64,44,23,1035,1025,1013,16,15,8,50,26,60,2.03,"Rain , Snow"
17,8,5,2,-1,-4,-8,70,55,40,1041,1038,1036,16,16,16,35,20,52,0,
18,8,5,2,2,-2,-4,79,64,49,1037,1032,1026,16,16,16,48,11,232,0,
19,20,12,4,3,-1,-8,85,51,16,1028,1025,1024,16,16,16,32,16,113,0,
20,12,9,6,1,-3,-6,60,44,28,1033,1031,1028,16,16,16,35,19,42,0,
21,14,9,3,6,1,-4,86,58,30,1027,1020,1013,16,16,16,21,10,24,0,
22,17,12,7,12,8,6,93,77,60,1012,1005,1000,16,16,14,39,14,47,T,Rain
